tx_from,tx_to,tx_hash,block_number,token_sold_address,token_sold_amount_raw,token_bought_address,token_bought_amount_raw,amount_usd
0x972b4a2ca9e48febccaa89c55c9376bad6068724,0x284f11109359a7e1306c3e447ef14d38400063ff,0xd1b7ae4f42335609374bf616885740724832055dcbe2b4c33fe06b074f6872ab,8612327,0x4200000000000000000000000000000000000006,64000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,275011797935264998241208,168.47872
0x9198f2368f0c95895c2a9df1d80914b879d41f29,0x284f11109359a7e1306c3e447ef14d38400063ff,0x48d32dbcb80fa61aa6472551768c80ee9cac3c795ba221e3ebde93bb5f2d8222,8618747,0x4200000000000000000000000000000000000006,104000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,128219378557107932932556,276.84175999999997
0x2541bba8f1cb17a809d07f9d0909b1936289bc7b,0x284f11109359a7e1306c3e447ef14d38400063ff,0x25a9ec2340b49b149a3f24684af089f63036982319e73dc31abf7cb90b66c11d,8618047,0x4200000000000000000000000000000000000006,260000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,368661894105793524066218,686.9304
0xd75bf408cd5dad9f30ebd1f43d05af393286e674,0x284f11109359a7e1306c3e447ef14d38400063ff,0x80152ac1a04cd4cf6da83a0049bd0c60886cf2de31523f8ea4c3cb8e37256b99,8615202,0x4200000000000000000000000000000000000006,208000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,394435007174995004445535,547.6099199999999
0x3d8f1d839d98e0421f4b55b140d4f67de18a0738,0x284f11109359a7e1306c3e447ef14d38400063ff,0xe04299f341f7cc324c09e79b9ac120cf95d62e9e5df58a337cb0b2f34cfaeafd,8619580,0x4200000000000000000000000000000000000006,2095000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,906764328402081259393874,5433.382500000001
0xbac3befe269b5ab689b1d98fe405d94cff6e58a2,0x284f11109359a7e1306c3e447ef14d38400063ff,0xd61c770bf0962cb92e3669a09756bc060fbfa1ae35491114acd6ef59e39fa24f,8618247,0x4200000000000000000000000000000000000006,280000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,323643970251856483034157,739.7712
0x23248fa8f122517cd4672090857433faca75ca14,0x284f11109359a7e1306c3e447ef14d38400063ff,0x575b7ee75f347fafaeb3a0f21282d0091652186c4a7fea4c25f064abdc4e4924,8611792,0x4200000000000000000000000000000000000006,84000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,493537813836650111584498,220.899
0x472e1286febd1f9f3633755b4a3e7382d588c5cf,0x284f11109359a7e1306c3e447ef14d38400063ff,0xd1b2e75a66314431d0f1d9f27a77e8de915f34f05729369f58a83cb8a642b74d,8618232,0x4200000000000000000000000000000000000006,63000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,74756903022953741821027,166.44852
0x3e8cd6580dd9762cf57ba3b503223ba7ce869509,0x284f11109359a7e1306c3e447ef14d38400063ff,0x5567ee57daf036a4cf156a4259b8ab25ce877331185fdf47c57cc90b23ecdad6,8625237,0x20f17d48646d57764334b6606d85518680d4e276,948216209875436865365666,0x4200000000000000000000000000000000000006,4144842605570510254,10681.217946129149
0x7c7b0175488d1731b8e04f37d2ce4401738c0e53,0x284f11109359a7e1306c3e447ef14d38400063ff,0x28a1b4c533b1e12a73fd9824c9d4c1e22c712d7cd45fec834f5d13cc32b93d7b,8619565,0x4200000000000000000000000000000000000006,2680000000000000000,0x20f17d48646d57764334b6606d85518680d4e276,1258363730568730285856410,6950.580000000001
